Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
1.367979724671953,1.39441211897931,1.8737867552975656,1.3486718675885845,1.3711409385002884
1.4373973971175,1.4735485391852237,2.1239877485252325,1.4153018748343702,1.3477938807845806
1.4124411678426274,1.4408327375668786,1.9533460921003267,1.390540051165134,1.408234734385462
3.1509203249724433,3.1843287077493816,3.759167577899807,3.129700603438672,3.449458825267263
1.1865590418826977,1.2168894649709565,1.7336052595450997,1.1683343976668132,1.157391514676552
1.4239548897012864,1.454050059406781,1.9821747333804451,1.4011092936097609,1.636607447640216
1.2434745309669606,1.2759846454738577,1.8498461649111215,1.2264781699924374,1.3582877396713826
2.183055767481106,2.2133528025204927,2.735988449900202,2.159621908820056,2.6477143153151657
1.827634260884817,1.8544616261819467,2.367718476248461,1.8088383901530902,1.9464645839717025
1.049046411006508,1.0640521106453222,1.3894349424206833,1.0331376801185432,0.9231370071782419
1.2417469932406993,1.2662121519609404,1.7235449579611803,1.2216596779296742,1.1358187009061007
1.3184120910454207,1.3399219551147623,1.7638263990697873,1.2985122077805618,1.6830615358833638
1.3682586385424342,1.406347103764486,2.023694393507337,1.3462313165394468,1.3169415619794558
1.2817421278783907,1.2999874275028493,1.6809935763906942,1.2632342771129546,1.0828809313161663
1.4515934332209988,1.4852910154276937,2.0491924699346993,1.4311303350087055,1.6212376549933347
1.4999723226759776,1.5190401266552502,1.9234532911831905,1.4800656731454271,1.4793369158796692
1.7596233399432628,1.7950456732426177,2.399280385359293,1.7421361086073477,1.9104729471512256
1.1023248709515894,1.1180879258779552,1.4730985193649486,1.0833396806218651,1.013347700485022
2.5448058013603396,2.578828028126785,3.1429317117445548,2.527573025226925,2.7238607585560017
1.5442359187334667,1.5758486573084691,2.1406758616480754,1.5268333419051894,1.5231673261405987
1.3244702750580735,1.3549585740988572,1.913006148409654,1.3055972852408946,1.36649502786596
1.5327998139405066,1.5580000261625533,2.030392559328902,1.5128205678978182,1.5453361461990685
1.223473610766232,1.2590805002195162,1.8599529422453034,1.2057555420504926,1.5589547468375444
1.5163301947893992,1.5453453139716729,2.0672661413981217,1.4932150656124654,1.7060100121745478
1.434091007508843,1.4467380568606496,1.729965377147646,1.4180461307159822,1.656912844200273
1.1922812852110294,1.21762428199197,1.7032036545062208,1.1716151563109296,1.3073494624660065
1.985405097567823,2.008569792454216,2.4612654812905874,1.9634915897468304,1.8848414850679889
2.0690196581766305,2.098952263107157,2.618119622061837,2.047482540428278,1.9103030435604567
1.3265236072571363,1.3636996561187495,2.0071790482185303,1.3067913375142963,1.3030488029523306
2.1121413753477496,2.1348254423548583,2.557068108194605,2.0912750214315925,2.0154369668600944
1.3863227397744398,1.4065115332186333,1.828324947828588,1.3670532510237032,1.2596411458918604
1.9208682482364035,1.9553040470595644,2.5756487799551744,1.897318922282312,2.0360301079470813
1.6956369386124217,1.7356292113577627,2.3681164942746693,1.6737159997852809,1.6076284086325816
1.7152181732992666,1.7491248419543803,2.325663290708822,1.6945541033958205,1.7945582541109455
2.2502247422925756,2.285310518932796,2.897422459008133,2.229921358190839,2.634798992841044
1.3274887067439323,1.3649828967190132,1.9704106324365682,1.3093528127978376,1.1321413427279223
1.2227863513553938,1.2449045523558873,1.6659506920543565,1.2045609702163038,1.2548083694824599
1.63415569684546,1.6690067402278168,2.277531124013395,1.6138239371121843,1.2997181037162377
2.1825854073335504,2.2199091872112264,2.824084406639739,2.161939614601682,2.0977963799157147
1.3542285271551446,1.3951458822360967,2.089359979868753,1.3320532588450664,1.2596535000171143
1.3239660799461608,1.358098861233395,1.9467269986586286,1.308679262140002,1.653377755612632
1.5746779230189476,1.5934208787562814,1.982770907456024,1.555543951563842,1.7216335560356766
1.3549686762300286,1.3802329842722543,1.872387296162973,1.333404632735208,1.426221591092666
1.394816150118892,1.427396935322161,1.994436680514322,1.3748812285103,1.8842759870990435
1.2598054121171556,1.2734426241084473,1.5781107453724172,1.2453156271893557,1.3473603279227522
1.4447313876830608,1.4761914113471506,2.012383423862228,1.4258695901087721,1.3251307915299027
1.390029815798326,1.4301350347118091,2.09326700169706,1.370258972578514,1.2668712959009192
1.3788097237317574,1.401275039273147,1.836612533142829,1.360735862625305,1.3067923110429278
1.7000106229191108,1.729295951835621,2.255639716377935,1.6825460021801764,1.8808311027040927
1.4903001610229507,1.5126963231640351,1.9484183501685324,1.473392883680341,1.5204311327079785
1.3061761267725636,1.3387494209915487,1.9211696575780783,1.2864376367758077,1.3004891931674918
1.3517971953476315,1.381469645602488,1.8735542719117788,1.3345337567473308,1.398912765782421
1.78663787940976,1.8165987057408914,2.361824560575747,1.7645852685337706,1.6650552243636147
1.9170972160186102,1.9471242163243447,2.4668628001904653,1.8997150207383733,1.9113732942652422
1.3660959107738129,1.3952441896495071,1.925749539578933,1.3450602556673283,1.2812923009480721
1.6317114738701812,1.657614951261394,2.160484528647108,1.611823308694063,1.355108486786842
1.5942930070493717,1.6239228120203597,2.160148658323079,1.5725352906581884,1.7167306284743347
1.2410651370479375,1.275078178311625,1.849580762028957,1.221650321537378,1.439626862631411
1.3643255494545972,1.4107960815088973,2.120680461283,1.3485451646525177,1.380959482269105
1.1210894491211687,1.1434441135306757,1.5775097804476996,1.1021216305136181,1.1844304076696561
1.5232209473045117,1.563059415397464,2.2157248396587437,1.5034832004907897,1.4494770063126452
1.428676744394311,1.464835149012368,2.0921411261248406,1.4068093185615238,1.218983314837362
1.7530134289308557,1.7693338613332814,2.0991110413261076,1.7355468480626628,1.846810248366493
1.3303646951668489,1.3592756752219137,1.8562076563734375,1.3112234210967588,1.4351146813586149
1.8380255221558357,1.8609490088420582,2.3071694851456663,1.8200094183536828,1.9213146513045263
1.350175032912272,1.3788271903957243,1.8921053018552219,1.3269414365336125,1.3935130779330054
1.223911343105498,1.2556244184277503,1.7927913407570513,1.1981866076655199,1.2086157182455561
1.3483535415122565,1.3845008272051804,1.981603199481599,1.3260961541172405,1.504513463418249
1.3085321393078584,1.3491808871845148,1.9839351280432775,1.2866464827822137,1.3641824948724606
1.5458466571240554,1.5698359163098419,1.992570185221943,1.529126859010621,1.7694166676655905
1.4755309723668593,1.5030617438749627,2.0293545510655715,1.455294926373986,1.3603059090120566
1.0787146937163015,1.0952192722260472,1.4420551372623418,1.0620350490938972,1.1496856134776252
1.6174711156662622,1.6395993075383228,2.0781768510018095,1.6020643658411946,1.6483149035682132
2.5915147114241033,2.614851155049376,3.0618517879999483,2.5701519792710408,2.913287066269763
1.1849630032125789,1.2210247087071406,1.8518067419941018,1.164573455116281,1.334241344305682
1.2490973417001843,1.283440370723574,1.8681161569354356,1.224820227621292,1.3899380508223353
1.4215408218577799,1.441398959228141,1.8348132883447332,1.4014519626210076,1.4466464438021227
2.4336529838789573,2.457134181481277,2.895609532331647,2.4160073448370527,2.2907544550647434
1.6044145152665905,1.6391237183850023,2.2206938383034913,1.5870720506258171,1.657848671711828
1.2896643632308358,1.3239645645085183,1.895626879047263,1.2706794900199947,1.2233859449285238
1.3172741631438416,1.3396925733387604,1.7530799691641938,1.2984459083018725,1.4430159238099782
1.2508505140573276,1.276984658492937,1.7500141558588271,1.230272129669258,1.3727016397305463
1.2774911834034508,1.3041520836297966,1.7802427560864742,1.2582642100033348,1.4241505857359658
1.4114319807357218,1.4353219997298123,1.9082713920505938,1.3899944760703358,1.3795587807845549
2.0425311553484526,2.0716443644783613,2.594815771198639,2.0212800018296706,2.0042253145360354
1.2208238593431784,1.2516845572335744,1.804047768147992,1.1988144720239855,1.1421434275451792
1.382541721802896,1.404959427414525,1.8334682112361937,1.361912778959732,1.4964405984711087
2.3729516299167983,2.3984560061207003,2.870690922664318,2.354095851099925,2.474393600566404
2.4600237701294345,2.494092561785183,3.079938094443097,2.439912427727845,2.363421791659397
1.1702807559084965,1.1965628621675495,1.677715531498692,1.1493871675203406,1.0728971211716922
1.999700046482306,2.030048866660424,2.5706460960403006,1.9759223757589135,2.1654661759064564
1.2643998036678166,1.2957751795509842,1.8399422512726924,1.2406330219012398,1.1032244885664007
1.331521531694334,1.3684453905587075,2.000592355389747,1.3107454168116872,1.3147685817448402
1.4144822677114346,1.4445040153595037,1.9858169606098743,1.3926801664368509,1.4457221759622731
1.3787079358528105,1.4021312396491177,1.847788684776149,1.3586504948044544,1.5265837732293848
1.2635413246311613,1.2862071017519936,1.7126239497328717,1.248657212543998,1.4803275189899108
1.2030408076791055,1.2352527798545667,1.7831177267892333,1.184532617060847,1.3256943671007198
1.2565363812984471,1.2729640534366988,1.6030471839012,1.2416535575914067,1.2425449566392166
1.3214651356033473,1.3545015541634162,1.9401481891432932,1.297830540257513,1.1469984236480526
1.264736931685921,1.2940420043474594,1.8062118410842478,1.2430766395007495,1.420896618568138
1.455374970570219,1.4787584416532713,1.947785684870087,1.438652491903866,1.082030145322547
1.592159684753954,1.6244547673642615,2.167945543100615,1.5710262017342926,1.6102777814862281
1.4599665902309682,1.4810218802496153,1.878501929280695,1.4417772721720405,1.2890925322164033
3.817475989184819,3.85108915618797,4.395342331661023,3.7998224900316933,3.5828836410338587
1.6206035404879129,1.657538439961584,2.2855053878893834,1.5976254199184394,1.7672670483807527
1.265996359898064,1.2988894807336502,1.8548187809960117,1.2442136772050827,1.3008811063841603
