Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
1.3028790402008175,1.3060136309708454,2.9267118701135364,1.1867585811553543,1.2086468495256026
1.5199996284176036,1.524300358066717,3.8565000240174623,1.3634126165320093,1.3041378075884065
1.2486937885345486,1.2520635896317738,3.034654238815584,1.109396501040611,1.289438045906257
1.2662913328019738,1.2702628496857686,3.378264701785448,1.1255827210096685,1.5433783362299762
1.2642572833063142,1.267861771761461,3.133574323202999,1.1312181344899688,1.3607674355415726
1.3160855128156566,1.3196576466340937,3.1576324258488055,1.1750677084318766,1.3266557573153235
1.3324963940278283,1.3363621285978267,3.405533650905249,1.1810527189449338,1.5211149560821822
1.4091224301693215,1.4127181444491506,3.2055691666295925,1.2697537508304353,1.4556241621809816
1.260014703081656,1.2631950786800703,2.984930880573939,1.138154317692298,1.3911069431803742
1.081126229489747,1.0829064861264306,1.9730728377810713,1.0121304894385887,0.9655651968528866
1.2360632748378926,1.238962629401516,2.760513453893408,1.1160293613549064,1.1362164694199715
1.1851603276177043,1.187708089321838,2.5265023001068863,1.08485969677063,1.4140590540372209
1.4013849323802425,1.405921032565455,3.7687513394722028,1.222711053482246,1.4591942334182748
1.1859629008709143,1.188123734653181,2.3276297438108142,1.0998091622401354,1.0637636926065728
1.3697732906460605,1.3737809293629875,3.4051265355860787,1.2212816718014556,1.5902926240639197
1.032328740980066,1.0345867815886114,2.260294550932688,0.9459297616899751,1.0785848183741216
1.4166103986970922,1.4208263136348518,3.655692299836667,1.2568561228565667,1.7374372981592348
1.1058736358752663,1.1077420232925528,2.082650452748603,1.0265133202475754,1.096744799763069
1.353403069731922,1.3574478252395747,3.404320880618007,1.1997397200766922,1.3410581965904362
1.4043246582872144,1.4080820999405168,3.412014344870761,1.2652110743267133,1.2222795715928925
1.3147702547043003,1.3183906205745934,3.2710728919588483,1.1798688064673424,1.2495936142161241
1.269578072651769,1.272564937486767,2.8127123139405774,1.1513062389331423,1.2985742868278993
1.264891598366114,1.2691336871834862,3.6131239386000082,1.1100821382933552,1.642349251253033
1.2560491678797356,1.2594940876098046,3.0882524348158595,1.1119986720402495,1.4345219125243651
0.9536859989914763,0.9551862154964238,1.7307730743675696,0.8956286044452666,1.1250601992606508
1.206069344341297,1.2090738637928777,2.8107743903409217,1.0788509654744578,1.2847009371571498
1.2067297262984864,1.209473326073327,2.665188980423401,1.097647372397553,1.057743852754841
1.211607050673394,1.215160829841724,3.05146651143749,1.056753178841198,1.1079412014112282
1.415525498990288,1.4199501408174098,3.7213276171439644,1.2544806780846285,1.2944403548630665
1.225457315777643,1.2281440910520138,2.5565467881302646,1.121964421093902,1.1372890765773844
1.1349481096556875,1.1373387938725454,2.46473525819908,1.049877101892703,1.0979495759907463
1.3329695977865388,1.3370624149235955,3.636705231837185,1.184755832047021,1.2416082727703133
1.4163249861185525,1.421093299039883,3.878619122601392,1.2167519424601103,1.4376056707463878
1.3926882930612816,1.3967225414018967,3.5282277391900716,1.247152805421178,1.6537656076930087
1.2800181751684303,1.2841973530376378,3.4962886415187464,1.1217098152734881,1.3914032105761491
1.458035005471624,1.4624984776373589,3.69686465230322,1.288924162218655,1.2935280398790177
1.1488207911701807,1.1514407233103028,2.491775084818495,1.0508144642061912,1.2927562854708745
1.384783486581425,1.3889282606900615,3.5583418857709503,1.2344366340036443,1.2323810951277054
1.4042112304698622,1.4086606431507815,3.692855319979145,1.2206794889506918,1.2818000087933297
1.3883820000661218,1.3932589149288734,3.9879090022052273,1.2040741434125461,1.2294445224467128
1.32132770483931,1.3253861670421765,3.5402576780270483,1.178669030182366,1.5897274295177652
1.1371402043269576,1.1393597724263136,2.2822480555681004,1.0548731881841564,1.2123257755829793
1.1967989966418433,1.1997931614484219,2.8780783808098693,1.0667161892026,1.2296692276038694
1.419205568968961,1.4230780647311236,3.415021236319655,1.268742509705636,1.7393524717300632
1.0679007353747612,1.069519939419217,1.921550466853264,1.0104496266381466,1.1771213469899042
1.3704018728674128,1.3741386617966784,3.280473259419274,1.2231763114642271,1.2389191246590885
1.5074601793685265,1.512237274683493,4.0216566152498245,1.3235509467814282,1.666872952990631
1.0733780572865215,1.0760400285652676,2.461551311494514,0.9714443686034688,1.0179624359630925
1.2779066147460227,1.28138024237915,3.0378900868189653,1.1465537607300882,1.531215892779951
1.175201406832412,1.1778546649953117,2.5826207096498623,1.0736810524548777,1.3598178862631825
1.2972110099133098,1.3010807483193259,3.4254986923970936,1.1614825794530237,1.2153773580892904
1.3777724997483767,1.3812979014999114,3.156208701674395,1.2457925406312405,1.4077077808962775
1.3394556142334393,1.343011839944149,3.228477944904312,1.1904013363280168,1.1780648740552664
1.2557821950361454,1.2593502817752278,3.0507296726601725,1.1275273609927852,1.2602512026668562
1.337687489722189,1.3411460255128667,3.1499278868654237,1.1966412780635047,1.2216044682260079
1.445079357638931,1.4481499212902007,3.2035628396635802,1.3168079793538303,1.1052756707738445
1.2854560520621672,1.2889736134489476,3.141342001163353,1.1501221061697222,1.4685990490343213
1.3314687304096369,1.3355154712120225,3.4478136133286137,1.1715365342674329,1.5184155437423636
1.4516433555623707,1.4571976680520426,4.418919803837627,1.2434276610935175,1.492211807375825
1.1157236386080867,1.1183710922929568,2.5461606443714193,1.0082959460868104,1.3202794340259685
1.5259782198212117,1.5307249633343614,4.136082220409314,1.3357828066946205,1.4071185910242006
1.4288571754339716,1.4331583628614508,3.767342720345365,1.2550976931822149,1.1595401425445842
1.156294315607074,1.15822740581745,2.1499825688343095,1.081725991384372,1.2658257083704778
1.2646291111289296,1.268061211360658,3.04896204216905,1.1454505000337467,1.31979641172287
1.1783455542348138,1.1810610844862637,2.645037256736781,1.0708971596271157,1.1935406844285392
1.3088192182329972,1.3122201023486886,3.078637984347301,1.1631364609241008,1.3118204334725287
1.2695568294413466,1.2733227782516472,3.250404271627044,1.1165197602561034,1.384532968458127
1.402580674015266,1.4068810229221171,3.6200494821058458,1.2420937054347096,1.557912586964671
1.371259904302465,1.3761074265526891,3.7474024540343924,1.180827601693734,1.445141814653131
1.1494051021017513,1.1522476650157656,2.5756473109839186,1.0416637246932956,1.2351351660379422
1.295411367753332,1.2986763880520793,3.039441752442812,1.1714671465673319,1.3388915732251354
1.1267386955878618,1.1286935994820604,2.1909210706951896,1.044771559463026,1.1721767838674964
1.1853343191779115,1.187955256517341,2.5827469732842365,1.08497890767682,1.1803499060852627
1.1629663920380706,1.1657306554527114,2.5752971738859127,1.055808616912653,1.2960404739030114
1.2695418229416668,1.273833222969338,3.568278293503769,1.1059258245970474,1.420918152802803
1.3296986145159324,1.3337806278284607,3.479744892626145,1.1734346887797638,1.3607499088628832
1.1203745262987306,1.1227260579183969,2.3393503258597352,1.0208588171996948,1.0869502001486664
1.1890622768067276,1.191844027756325,2.6153749193426785,1.090023955707786,1.0512666974837612
1.2609413484279628,1.2650723307363791,3.398907307130905,1.0927957773812378,1.4029943629422221
1.3925300082120466,1.3966087883104015,3.457538761857461,1.2398821134608358,1.3973936247535101
1.2412199134163384,1.2438756656713548,2.551477700592532,1.1402179662371885,1.2598723662144926
1.2433360781232958,1.2464348119016777,2.924718810060508,1.1254148357884537,1.295069842728715
1.2764248304310668,1.279584735208515,2.848788703313731,1.157401981716714,1.569669649129245
1.2493466076388076,1.252177373600427,2.7828163100855203,1.1330752587162694,1.1768519311155212
1.3646303451548476,1.368086070027031,3.1814016150267337,1.2338017405011177,1.5160755495138383
1.2520192428437997,1.2556837491625832,3.195711897774028,1.1105810608979259,1.2094186940359988
1.133400961219534,1.1360566566885502,2.5432046745241292,1.0316460883439975,1.1291079020438612
1.1839168643059965,1.186940769638331,2.7442205709093264,1.0736599539509972,1.314795500945448
1.361203086835864,1.3652553229916415,3.5262458592452846,1.2114652647955912,1.2067428980593475
1.2959328269280845,1.2990512282908657,2.95094685506968,1.1597228531879311,1.1750597070317175
1.375270190783225,1.378872737409034,3.297785745132817,1.2378191081111258,1.700502522024795
1.2856439947046405,1.2893717578235586,3.2458030424369744,1.1342166609471651,1.1366089125536287
1.3565276679618063,1.3609233338459317,3.6621459888807504,1.1870321124380199,1.3925151416577461
1.4794916025575755,1.4830549502431924,3.399442231314721,1.3466092447042721,1.4550272349528652
1.196808907230839,1.1995852386602655,2.6926994500197976,1.0882138439801239,1.3622114014792597
1.1637104958561597,1.1663967054638948,2.5393018783469183,1.0679222131337736,1.2629647497403484
1.1479387444580016,1.1517687447388243,3.174935483506518,1.0075524713896984,1.355040867407015
1.2501716783731505,1.2521174043532552,2.2270189593090155,1.1782961582286013,1.1854662518241348
1.4108716935682906,1.4147989251734734,3.5474597896789324,1.2421323305706353,1.1720196068345148
1.2764254633973444,1.2799071135048754,3.048660839534179,1.1306818788050228,1.5219939398120501
1.3874018549312503,1.390171577746924,2.8647983881200862,1.2823162573592497,1.0726237119935866
1.2810797499794642,1.2849197497039933,3.2571442160806177,1.1375453437554397,1.3182577141953644
1.2175076482169824,1.2200010703007607,2.4517361996782903,1.1273328117852424,1.192801093552564
1.445842665707679,1.4498411270416407,3.4991704471027556,1.2819390662324446,1.2703957491530695
1.4198583480183729,1.4242558062691333,3.736159515755952,1.2460859553575405,1.440520015626663
1.316702149191941,1.32061265639978,3.3294615703598733,1.1723082267176974,1.3417876219813238
1.3343972017538934,1.3375108011167578,2.959651906863785,1.2103841400606181,1.3529273912404802
1.364102640217622,1.3676538860940421,3.1425131503757378,1.2240149713119206,1.3280732274695475
1.559845588980066,1.5637194165388941,3.5364923992170096,1.4114427335325148,1.4251143589298274
1.155076152033223,1.1577766870538884,2.5819487779778534,1.0474632610643102,1.2918016672019599
1.1969665862537313,1.1994491046789078,2.4807545059203964,1.0919052417177533,1.2224405143463453
1.2804466869221032,1.283270793077831,2.7547527292852347,1.1623455080304814,1.2896902780219257
1.2985762441747317,1.3032123269127722,3.8638999207408937,1.1133071899933458,1.3436225404398399
1.4148393961945602,1.4192706036450697,3.6600206440450913,1.2409167164635961,1.4395434892172327
1.3225603381139028,1.3264896119362621,3.311914065783114,1.1792174972751495,1.3478523071332917
1.2993982981887133,1.3045015955731945,4.010971579440134,1.107589155687295,1.3624575422463103
1.3660546079558342,1.3697035162882443,3.2926572115487462,1.2317960674915078,1.3423307108102178
1.323728552905948,1.327079606504633,3.076924729049587,1.1962424634320359,1.3368747852002272
1.234474011491713,1.2376043400864056,2.9117188773716762,1.1087193550547092,1.2979590190466612
1.3644932929419242,1.3687818055130594,3.707261573866293,1.1962487123450904,1.593336779859873
1.3154367689256499,1.3184807426455876,2.9195632421099242,1.1971434947386266,1.3431068069149454
1.3041875209316234,1.3085127936824685,3.6698672385993363,1.1479073027641316,1.2966510222361238
1.4857169486115442,1.4904832844420552,3.9268820180317654,1.3168660658804654,1.4079726722703596
1.1895437228173464,1.1921777750339408,2.5991163430460187,1.0820071284886088,1.1583604445497526
1.1831704531995892,1.1860907382208208,2.6683898195151565,1.0732926909283935,1.1214479987685553
1.5007931463574309,1.5044341229571236,3.435775874702699,1.3578354663733347,1.6323612573863846
1.1055585327404212,1.1079785970389686,2.3340349415884507,1.0106977588708452,1.0542463459236218
1.2889088256256873,1.2919263656927151,2.9536917733939667,1.1748440758458838,1.2634205215951297
1.4165849593294777,1.420888034340569,3.539269156393945,1.2418167627737506,1.3620541868639164
1.2153057197846455,1.2182647449432231,2.758640666116008,1.1106157638817091,1.3199110872009883
1.3255466440061217,1.329395130021988,3.308733331829761,1.1751777135281352,1.254727437142906
1.228020299525542,1.2310887669621813,2.8539724407027878,1.1108591396049072,1.0640681608845282
1.5407333857828776,1.5446995901930323,3.630103681997472,1.378002862363942,1.3742080925389328
1.3547091186916738,1.3581544668669212,3.1820031395836432,1.2206611454103584,1.2241990178053093
1.2240324997873624,1.2281622336768026,3.5295423708168148,1.0675848120467482,1.3637697177703672
1.2944671563114512,1.2972955580346661,2.7628493931700477,1.180863079020222,1.4795516783277671
1.2187740810588996,1.2219907097610627,2.878359901438147,1.0964433094266326,1.5027914673542093
1.1997211771943113,1.202743588864539,2.7076166430450197,1.0902306205244794,1.356689041931111
