Error_cv_ridge,Error_cv_ridge_c,Error_cv_ridge_c_r,Error_cv_ridge_c_s,Error_te_ridge
0.7414920343097253,1.1667449466828615e+66,1.1667449466828615e+66,1.1667449466828615e+66,0.7206180465790534
0.688566889251435,-7.862990099878647e+64,-7.862990099878647e+64,-7.862990099878647e+64,0.6463728108122955
0.6915006380152794,-1.657748254865596e+54,-1.571928209839458e+54,-1.571928209839458e+54,0.6607046153330431
0.7290949799036948,-2.822964085219435e+80,-2.822964085219435e+80,-2.822964085219435e+80,0.7917514250550178
0.6889189036684317,4.1628527634517476e+68,4.1628527634517476e+68,4.1628527634517476e+68,0.7049619083670255
0.6746487642450393,-8.264912656593328e+66,-8.264912656593115e+66,-8.264912656593115e+66,0.7033748328011684
0.7003950203217332,5.017950191418587e+52,5.017950191418587e+52,5.017950191418587e+52,0.6934380802184261
0.7132645016749631,-1.4317157377846765e+66,-1.4317157377846765e+66,-1.4317157377846765e+66,0.6175822580396287
0.7145417615220278,1.5484731820576538e+69,1.5484731820576538e+69,1.5484731820576538e+69,0.7296699489804336
0.7097283235246646,-1.2016833482105027e+65,-1.2016833482105027e+65,-1.2016833482105027e+65,0.7226887833791206
0.6867860929244078,-7.032462802490633e+51,-7.032462802490633e+51,-7.032462802490633e+51,0.6570349569884804
0.7193604678788819,0.719360467879151,0.7193604679028095,0.7193604678795376,0.6876977037035311
0.6493303315101178,-9.072306344641044e+66,-9.072306344641044e+66,-9.072306344641044e+66,0.6338140902577782
0.7624562899773527,7.334146927131359e+67,5.048885979096356e+53,5.048885979096356e+53,0.7269049953850143
0.7176504723556033,1.4563764069150275e+50,1.4563764069150275e+50,1.4563764069150275e+50,0.6855638180265026
0.6702081773581242,0.6702081773587553,0.6702081773968644,0.6702081773584828,0.6811187443290605
0.6757768760928974,-8.596158068217698e+65,-8.596158068217698e+65,-8.596158068217698e+65,0.6703896825806848
0.7112518240163385,3.671387658049381e+80,3.671387658049381e+80,3.671387658049381e+80,0.6843893019728994
0.7039363814470149,-1.3857276210997323e+50,-1.3857276210997323e+50,-1.3857276210997323e+50,0.6436483450439788
0.6793795485988727,0.679379548598592,0.6793795486237711,0.6793795485994722,0.7290883501866059
0.7040606469285791,3.1628531136598677e+69,3.1628531136598677e+69,3.1628531136598677e+69,0.6428156331112356
0.7012273022040453,0.7012273022049902,0.7012273022282226,0.7012273022046165,0.6972493524382968
0.6266490916183481,1.0849672655565167e+67,3.0724248796480895e+51,3.0724248796480895e+51,0.6756867576927269
0.7376141808309201,3.9269164698828517e+68,3.9269164698828517e+68,3.9269164698828517e+68,0.6713360455040586
0.690084293790259,-3.182465394383922e+65,-3.182465394383922e+65,-3.182465394383922e+65,0.6148055944514889
0.7409127317737042,-4.290238888972278e+69,-4.297358941391935e+69,-4.297358941391935e+69,0.7670428993811929
0.7237219724709406,-2.041127569301123e+69,-2.041127569301123e+69,-2.041127569301123e+69,0.6801348627045518
0.7227836937793775,-1.2157590139294747e+53,0.7227836938075323,0.7227836937811485,0.7260410656248306
0.7282485994215188,1.1174585340577026e+52,1.1174585340577026e+52,1.1174585340577026e+52,0.7249298223454483
0.691472429089143,1.3682063446690062e+67,1.3682063446690062e+67,1.3682063446690062e+67,0.6585386150475575
0.742793305571802,-6.099526887428205e+52,-6.099526887428205e+52,-6.099526887428205e+52,0.684815342033457
0.6727212367524782,-4.764553995315612e+50,-4.764553995315612e+50,-4.764553995315612e+50,0.7224218105380487
0.6599117485836697,-2.1452586182176437e+52,-2.1452586182176437e+52,-2.1452586182176437e+52,0.6620587939886863
0.7147218972566584,-2.0571766265166052e+68,-2.0571766265166047e+68,-2.0571766265166047e+68,0.7494137726720751
0.7145252579999112,0.7145252579995998,0.7145252580242225,0.7145252580008339,0.7169935687452048
0.6998744075596282,-6.113077329916438e+68,-6.113077329916438e+68,-6.113077329916438e+68,0.7111863042031958
