Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
2.5575853544781114e+156,2.5575853544781114e+156,2.5575853544781114e+156,2.5575853544781114e+156,0.8919270450733869
5.3559304850880585e+154,5.3559304850880585e+154,5.3559304850880585e+154,5.3559304850880585e+154,0.7193707908358914
9.53356011006356e+128,9.53356011006356e+128,9.53356011006356e+128,9.53356011006356e+128,1.9225295301578358e+126
1.1953945229569429e+181,1.1953945229569429e+181,1.1953945229569429e+181,1.1953945229569429e+181,0.9063625080148136
1.2355319078718736e+158,1.2355319078718736e+158,1.2355319078718736e+158,1.2355319078718736e+158,0.8378043633583689
2.4300691427234734e+153,2.4300691427234734e+153,2.4300691427234734e+153,2.4300691427234734e+153,2.036854696460841e+125
1.4282056246692515e+125,1.4282056246692515e+125,1.4282056246692515e+125,1.4282056246692515e+125,0.8032495965040942
8.430906910885445e+153,8.430906910885445e+153,8.430906910885445e+153,8.430906910885445e+153,0.8047698630881026
1.7634211981271263e+160,1.7634211981271263e+160,1.7634211981271263e+160,1.7634211981271263e+160,0.8749584018975827
7.579535812620959e+152,7.579535812620959e+152,7.579535812620959e+152,7.579535812620959e+152,0.848558523084732
4.240067467227299e+127,4.240067467227299e+127,4.240067467227299e+127,4.240067467227299e+127,0.7920153215924667
0.8590832046784864,0.8590832046787555,0.8590832046963771,0.8590832046763136,0.825653589628676
2.377545476104047e+155,2.377545476104047e+155,2.377545476104047e+155,2.377545476104047e+155,0.7711635827159804
5.231812539508721e+127,5.231812539508721e+127,5.231812539508721e+127,5.231812539508721e+127,2.7234142114118074e+157
1.904625675626582e+124,1.904625675626582e+124,1.904625675626582e+124,1.904625675626582e+124,0.8115965645109755
0.816619481151279,0.8166194811519101,0.8166194811766511,0.8166194811471218,0.8348685046082397
2.1295574613677356e+152,2.1295574613677356e+152,2.1295574613677356e+152,2.1295574613677356e+152,0.8076841998122233
1.242543907348627e+182,1.242543907348627e+182,1.242543907348627e+182,1.242543907348627e+182,0.763711554809091
1.358246578832817e+123,1.358246578832817e+123,1.358246578832817e+123,1.358246578832817e+123,0.7424555784023632
0.8087106301649234,0.8087106301646426,0.8087106301829975,0.8087106301626473,0.8914224425055753
3.7404127484200054e+158,3.7404127484200054e+158,3.7404127484200054e+158,3.7404127484200054e+158,0.759006872654859
0.8722258247873302,0.8722258247882752,0.87222582480522,0.8722258247850436,0.8465917606290467
1.5205144058045443e+125,1.5205144058045443e+125,1.5205144058045443e+125,1.5205144058045443e+125,1.3922923347187934e+155
2.578806430642184e+156,2.578806430642184e+156,2.578806430642184e+156,2.578806430642184e+156,0.7876244185124713
3.270829496556779e+154,3.270829496556779e+154,3.270829496556779e+154,3.270829496556779e+154,0.737213334072841
3.918380443058016e+158,3.918380443058016e+158,3.918380443058016e+158,3.918380443058016e+158,3.520249769952979e+153
8.071230307185627e+159,8.071230307185627e+159,8.071230307185627e+159,8.071230307185627e+159,0.8216901982428444
0.9274575020605542,-1.2157590139294747e+53,-2.280887027096057e+68,-1.1710328483076061e+53,8.599651664859929e+126
2.907848590584207e+125,2.907848590584207e+125,2.907848590584207e+125,2.907848590584207e+125,0.817116889291726
