Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
1.5132984801623106e+155,1.5132984801623106e+155,1.5132984801623106e+155,1.5132984801623106e+155,0.891927045068609
2.1989881409742746e+160,2.1989881409742746e+160,2.1989881409742746e+160,2.1989881409742746e+160,0.7193707908353139
2.744162591680983e+121,2.744162591680983e+121,2.744162591680983e+121,2.744162591680983e+121,0.765146424673207
1.8011246944198155e+153,1.8011246944198155e+153,1.8011246944198155e+153,1.8011246944198155e+153,7.38465087023585e+152
8.523950037881017e+154,8.523950037881017e+154,8.523950037881017e+154,8.523950037881017e+154,0.8378043633593578
6.462555750680342e+153,6.462555750680342e+153,6.462555750680342e+153,6.462555750680342e+153,0.8166256334592744
0.8602447830911544,0.8602447830914386,0.8602447831085649,0.8602447830885928,0.8032495965025385
0.8586219558265118,0.8586219558264935,0.8586219558423207,0.8586219558244168,0.8047698630847183
1.3028682047632785e+131,1.3028682047632785e+131,1.3028682047632785e+131,1.3028682047632785e+131,1.0647033712289961e+130
6.272416013807215e+128,6.272416013807215e+128,6.272416013807215e+128,6.272416013807215e+128,0.8485585230838831
8.884605523896185e+125,8.884605523896185e+125,8.884605523896185e+125,8.884605523896185e+125,0.7920153215939923
0.8590832046758987,0.8590832046761678,0.8590832046937894,0.8590832046737259,0.8256535896261354
0.81570371525828,0.8157037152582904,0.8157037152743662,0.8157037152568849,0.7711635827157416
1.0260830739857211e+158,1.0260830739857211e+158,1.0260830739857211e+158,1.0260830739857211e+158,0.8615791301535822
0.8585106659163061,2.3902278626713978e+38,-4.495720030013259e+54,2.1482181120422854e+38,3.310970424111531e+95
0.8166194811475818,0.8166194811482128,0.8166194811729538,0.8166194811434245,0.8348685046066964
7.899925993863932e+154,7.899925993863932e+154,7.899925993863932e+154,7.899925993863932e+154,0.8076841998019016
1.65501539931399e+153,1.65501539931399e+153,1.65501539931399e+153,1.65501539931399e+153,0.7637115548015792
2.740920394050853e+95,2.740920394050853e+95,2.740920394050853e+95,2.740920394050853e+95,1.018438464495768e+126
1.407327392469815e+157,1.407327392469815e+157,1.407327392469815e+157,1.407327392469815e+157,0.891422442496914
7.359532267042033e+157,7.359532267042033e+157,7.359532267042033e+157,7.359532267042033e+157,0.7590068726559723
1.7053147977787687e+184,1.7053147977787687e+184,1.7053147977787687e+184,1.7053147977787687e+184,9.561106518179192e+95
5.116622602919264e+157,5.116622602919264e+157,5.116622602919264e+157,5.116622602919264e+157,0.7734223270935658
0.894320721925114,1.204765866486412e+69,-3.0893343475305187e+70,5.707809314119769e+55,8.441195970987054e+158
5.227553931060665e+186,5.227553931060665e+186,5.227553931060665e+186,5.227553931060665e+186,3.598545892206147e+127
1.7866831303816922e+155,1.7866831303816922e+155,1.7866831303816922e+155,1.7866831303816922e+155,0.9267090077325614
0.8938027204317119,0.8938027204321656,0.8938027204486647,0.8938027204293723,0.8216901982492033
1.5199330328530504e+153,1.5199330328530504e+153,1.5199330328530504e+153,1.5199330328530504e+153,0.8574814589042401
7.97748665654332e+125,7.97748665654332e+125,7.97748665654332e+125,7.97748665654332e+125,0.8171168892922229
2.614322109572765e+122,2.614322109572765e+122,2.614322109572765e+122,2.614322109572765e+122,0.8274409705182975
3.1773118307149114e+125,3.1773118307149114e+125,3.1773118307149114e+125,3.1773118307149114e+125,1.5542823637620234e+156
7.269601114445136e+184,7.269601114445136e+184,7.269601114445136e+184,7.269601114445136e+184,0.7583726410221391
1.2266533402419661e+155,1.2266533402419661e+155,1.2266533402419661e+155,1.2266533402419661e+155,0.7824141242120123
3.1207915404175077e+152,3.1207915404175077e+152,3.1207915404175077e+152,3.1207915404175077e+152,0.8522341911958905
5.232024128252096e+156,5.232024128252096e+156,5.232024128252096e+156,5.232024128252096e+156,0.8866230659772786
1.062545414979504e+160,1.062545414979504e+160,1.062545414979504e+160,1.062545414979504e+160,0.8605077368912718
1.845991022318493e+154,1.845991022318493e+154,1.845991022318493e+154,1.845991022318493e+154,0.7750916347636465
7.707079796177725e+156,7.707079796177725e+156,7.707079796177725e+156,7.707079796177725e+156,0.8180527291956529
2.4154856227974987e+156,2.4154856227974987e+156,2.4154856227974987e+156,2.4154856227974987e+156,0.8550529198486496
0.8914145584804846,0.8914145584811901,0.891414558505458,0.8914145584764421,0.7262477950042613
1.5812895466175126e+130,1.5812895466175126e+130,1.5812895466175126e+130,1.5812895466175126e+130,0.9534224423903299
3.823429399898819e+126,3.823429399898819e+126,3.823429399898819e+126,3.823429399898819e+126,0.9189293599708582
1.1422092648127052e+98,1.1422092648127052e+98,1.1422092648127052e+98,1.1422092648127052e+98,0.9076873015918974
1.8641773216272544e+157,1.8641773216272544e+157,1.8641773216272544e+157,1.8641773216272544e+157,3.1851004890079834e+127
9.537499617846784e+123,9.537499617846784e+123,9.537499617846784e+123,9.537499617846784e+123,8.496545972504621e+99
2.1441284538641328e+68,6.047811631882716e+67,-3.2412371207228435e+68,6.358539937576015e+67,3.1053348341909898e+156
7.349048841109066e+129,7.349048841109066e+129,7.349048841109066e+129,7.349048841109066e+129,6.094968373534437e+69
4.900372103537372e+157,4.900372103537372e+157,4.900372103537372e+157,4.900372103537372e+157,1.0221204984515563e+126
5.033155275736206e+127,5.033155275736206e+127,5.033155275736206e+127,5.033155275736206e+127,0.8025919742989098
1.4018813375745907e+93,1.4018813375745907e+93,1.4018813375745907e+93,1.4018813375745907e+93,1.552938152841114e+124
1.89524588151475e+158,1.89524588151475e+158,1.89524588151475e+158,1.89524588151475e+158,0.8863825972941205
7.206157954383655e+154,7.206157954383655e+154,7.206157954383655e+154,7.206157954383655e+154,0.9088407741971017
5.530550803607424e+118,5.530550803607424e+118,5.530550803607424e+118,5.530550803607424e+118,0.8833413869946896
1.0968437837840836e+123,1.0968437837840836e+123,1.0968437837840836e+123,1.0968437837840836e+123,0.7792087007194679
3.1184956152648336e+158,3.1184956152648336e+158,3.1184956152648336e+158,3.1184956152648336e+158,0.7669297676389834
5.390694335555214e+154,5.390694335555214e+154,5.390694335555214e+154,5.390694335555214e+154,0.9194843158989033
