Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
23711174.940892935,23713393.076406177,-1.9769878574669386e+17,23713385.945528205,441945.1068749935
1233179.6904076326,1238599.5673311348,-3.6601908764144696e+18,1238492.418438359,91231.00663605698
207568638.90446073,207563924.13392338,-3.591169777526658e+18,207564061.1980466,67986.16525323215
24907.128560772457,28356.706505808404,5.787766431741205e+19,27796.297085124905,53581.76816382817
2.0048112898674882e+27,2.0048112898675256e+27,2.0048112881157575e+27,2.0048112898675256e+27,36199.88747298807
518938.99003635946,515626.05413786875,5.787679540080433e+18,515559.437758312,119907.25095379373
79558.38229010654,78118.43577447267,78119.08161714164,78118.38666215485,0.983064695594241
2325617.504921825,2326427.1311546266,-2.320631911851492e+18,2326374.4268053174,262477.86968021985
1607530.01153189,1608063.8012696668,-2.4441347982906515e+19,1607605.025942442,149792.57577625356
3672670.8436918235,3671130.6777510946,-7.210268518644232e+18,3671106.070942072,1747745.1645527196
5017821.679542682,5027887.387286025,3.611754454946553e+17,5027907.059507188,629.5702549183136
20428628.52092675,20427825.249967616,614488941091734.5,20427829.258567914,121.31317036996565
1.1424903754440225e+30,1.1424903754440217e+30,1.1424903754440217e+30,1.1424903754440217e+30,0.7760648754562877
1.0748935097184898e+30,1.0748935097184898e+30,1.0748935097197234e+30,1.0748935097184898e+30,139400737.1683762
7.779509455093271e+27,7.7795094550937e+27,7.779509457239397e+27,7.7795094550937e+27,373.5276981433551
15898368.588320713,15898392.218860187,1.452654202394281e+16,15898389.391976416,12.86520325326076
12603254.643441357,12596130.833992291,-6.486047960078221e+18,12596637.619664416,170674.0001840939
232458734.86858603,232467860.31512183,1096270765456116.8,232467858.54892838,82.0619072982664
4106044.312591645,4111840.0234853574,-2.2257308206705426e+18,4111821.579653745,7054.04819034289
27546895.9034475,27554321.72335744,-2.4445592211064105e+18,27554066.17756654,407406.79019049235
4461153.52313753,4461885.41055387,1.9636779905544556e+18,4461947.996363197,30927.982196652054
3585150.261298007,3581297.285753629,-2.366700455933424e+17,3582121.031007715,9567729.64243755
122383528.38565935,122378219.74227688,122378243.92441502,122378220.11476728,2.0672206979666665
131953.64659715345,-1287800.2631841148,-8.969555635784801e+20,-1466878.8793582486,111828739770.21512
113696.86045657308,113761.13349780216,8.926186992122259e+17,113790.79741649718,1446.1902054371683
1668844.5868301578,1633108.48864579,1.244809042351755e+20,1634807.0976624498,15180082.204986736
377163.4247976935,377982.24886182783,-2.0372311611213138e+18,377730.12913209724,122998.01367052752
31997249.38791161,31999678.869723324,4.5702660354528164e+18,31999730.265611622,673382.3552678548
267340.4262459851,264833.11305129307,-3.1891743784474046e+19,265445.5250241255,245635.18244405143
3305626.268350754,3315836.781385789,-3.3656891852020548e+19,3316875.4472479485,22185483.553616285
266890036.31931973,266955575.9857959,-3.916428533249614e+18,266955489.33405384,43256.94859755463
9550130.381174471,9547206.050096128,-3.862814888135025e+17,9547245.681694992,31874.30562852117
65161065.95371249,65156817.547755435,2.363060194562145e+18,65156557.749264486,52559.522415479434
592592.7441948416,596715.0671996826,4.2016124171355315e+18,597175.7799182155,188812.99251685798
1848104061.2354243,1848162547.9247923,-3.732905592175747e+17,1848162547.9218457,1958.9951717094796
2.5942654975070845e+30,2.5942654975070845e+30,2.594265497464449e+30,2.5942654975070845e+30,309041984.71552336
7.891650008607115e+29,7.891650008607117e+29,7.891650008552886e+29,7.891650008607117e+29,58595.57681036058
840684.7816399712,841455.4281634049,-3231976138093991.5,841444.6369380576,34.64188204285278
71796.6284450719,71914.50526257357,-6773499994117630.0,71916.62225157775,8.356809274998808
34472923.185337014,34465664.03977387,-1.2944136767507072e+17,34465661.55945299,301.8509297257876
1528847.914005035,1531371.1918668095,-2.4660517054033116e+18,1531122.0809000393,67235.46458241683
