Error_cv_lmm,Error_cv_lmm_c,Error_cv_lmm_c_r,Error_cv_lmm_c_s,Error_te_lmm
450216.3474503319,450218.62698697374,-1.4681074675560446e+16,450218.95361961646,51166.201779338044
16272.691654821585,16283.65373719617,2.7370101543807736e+16,16283.998300246976,7252.862754370006
26403.340391833557,26377.618175296295,1.9464419985656024e+16,26379.00030996754,54293.77454415694
3694544.644856217,3694684.1619528616,3.3876974402335725e+17,3694686.7518475233,455611.9437924805
103910431.86463812,103910259.55769655,2.7546396457739782e+17,103910261.43467408,8333195.190959206
2230541.5232832246,2230568.4482602784,820677982381060.2,2230568.5887868865,369.4860015006905
40458.83712391014,40451.13368737365,40451.471218101375,40451.10744630213,0.7737947769737404
3264.789074655446,3260.6915022208154,3661967249286401.0,3260.7235012985775,939.41846558774
221821.295553442,221821.77375830512,141029294762.70532,221821.72981608167,0.7839254920033091
1198725.465235522,1198728.2134153978,3.570314080343329e+16,1198728.4514858644,66618.25976780662
163978.18304742142,163972.5039286538,-91255343472008.92,163972.44684973455,4.014193056350379
4.2402568749601215e+26,4.240256874960125e+26,4.240256874959972e+26,4.240256874960125e+26,0.8805508450431535
79654.580249059,79646.1890206872,-987966044254524.9,79646.04425861125,852.5410805964851
1.3546524829391364e+28,1.3546524829391364e+28,1.354652482938834e+28,1.3546524829391364e+28,120270.79155528978
42269.46778575521,42269.90660947239,-1.3691809650748942e+16,42270.102060039404,7463.735590199087
5.791101369173489e+25,5.791101369173761e+25,5.791101369044403e+25,5.791101369173761e+25,7.556295987417944
13474832.311523767,13474834.03272392,2869503127690336.0,13474834.011069179,377.4702071933855
1654.9335943470485,1654.6447688629198,107562902097459.48,1654.6482235061114,87.69815180804919
4.460814860703373e+28,4.460814860703373e+28,4.460814860703373e+28,4.460814860703373e+28,0.6091291877073944
4.405268425524329e+32,4.405268425524329e+32,4.4052684255243296e+32,4.405268425524329e+32,328555.43433246796
450125.46650290105,450121.4378549583,-66387612730022.3,450121.40989463584,0.9567843919036818
35752027.774081215,35752080.4577189,3682802738151628.0,35752080.6952433,12123.796759251114
207229.89012386702,207227.98346749847,-3.3832648241115096e+16,207228.08862536703,408.036511123224
492285.1409189646,492296.03203994426,3042617507506839.0,492296.1381929796,6367.024743845486
49641.87806237828,49647.020857529635,-2334153341462290.5,49646.771880609565,4132.364445602326
4.944534546502269e+34,4.944534546502269e+34,4.944534546502269e+34,4.944534546502269e+34,37985.3405157637
6520.28766878753,6523.824421261675,-1931340268843753.5,6523.356194719288,4244.570644976226
10428093.339333616,10428096.460837122,7467047119695514.0,10428096.856771719,399633.33936176106
8721.725498512855,8722.321875517044,8722.57349481499,8722.298609054531,0.5887043482952606
38847.360285558185,38845.12236563021,5.975137958211988e+16,38844.966123298174,467.8057178400717
6203.676745976632,6205.729661623798,2706505739878617.5,6205.636823922794,306.94854964390237
114563.38320717284,114536.13952234747,-2.8910334734929028e+16,114534.31164915742,16806.70520812142
1351619.667409179,1351712.26365483,3.7943921061033304e+16,1351712.6313013472,243447.2706802352
56521.73504392742,56523.45838638886,-41025899478693.79,56523.42906873777,4.253217183995081
58394.72406242898,58394.651162185546,-30319688944400.465,58394.62357294949,1.0036547592574208
45583.70381207813,45582.9694754849,8016715113792.968,45582.88814318941,120.50137284165874
6707.665981391533,6709.8874996502855,5.9285304356565144e+16,6710.128101354599,1481.5523339307501
86528.24080961494,86529.68758495428,-12757235660824.18,86529.63961516312,4.851004623366243
99910.85662907561,99910.45804814433,5353266999999.492,99910.44877247624,0.8178799131163373
65110406.559531055,65110396.117748156,-1.8090498443019052e+16,65110396.77942321,36682.5387758093
1878.4382237040863,1878.675421365067,31651147992139.824,1878.6153962175208,2.3044174209969426
610286.2009262518,610294.8899128521,6978790277816.893,610294.8656066023,1.7992391649080575
28050408.225460246,28050482.379215177,1078274823429347.1,28050482.510064173,2325.3253809790185
7984174.998849648,7984201.725437874,-46726909071328.086,7984201.722882426,42.61806583392182
8.458453838225746e+35,8.458453838225746e+35,8.458453838225746e+35,8.458453838225746e+35,0.8078258799807042
1485265.4842802114,1485269.0807743075,753781778074815.5,1485269.0816521596,35.047349066795626
197309.74897422825,197309.03576140146,-509999416448418.0,197309.01987928574,1.2408673566908481
465993.58288871706,465916.3703912077,-4295124433270241.5,465916.8570202386,408548.8429540418
385551.83511531475,385552.99184300343,385553.21385722875,385552.965776342,0.7147929319486965
5.9576405067775635e+31,5.9576405067775635e+31,5.957640506777563e+31,5.9576405067775635e+31,8.716204966014599e+30
13290.003946505183,13289.59413362915,-24178531285424.656,13289.547611007596,0.843937462554934
236427.33729646174,236417.19290183412,4.5272394479761576e+16,236416.99414422383,1314.9293353615917
942.9866715115013,942.693209110034,-738670140866.664,942.6923181763649,6.931709806964582
490185105.9127834,490185116.3598343,-621267556790947.8,490185116.2927395,3713.3490050397154
255721.86861447422,255720.03526166553,-4167309215275828.0,255720.09533101463,723.2231399667504
23161773.270841893,23161663.39729726,4.6414250645256474e+17,23161654.93469228,18217642.57821608
48683531.89480566,48683591.694919094,4.24551477812893e+16,48683581.600373544,25197808.192002293
485273245.91382235,485273157.1419467,556006046791915.8,485273157.0912751,122.94119383507781
96718.0354476533,96711.63176807332,4006370586135404.0,96712.43516434898,2547.2707804579563
2.8142463541193517e+31,2.8142463541193517e+31,2.8142463541193517e+31,2.8142463541193517e+31,32.20095975483333
154358.6575590249,154354.1876840789,154354.470171715,154354.17587360778,0.637994762316733
1415951.9943613894,1415955.106405561,1.6769192281389954e+16,1415955.1667168408,5546.903592228105
50519971.75057748,50519953.37391514,-287091029122198.9,50519953.333108984,3.582895632770005
6510.42285112553,6509.378524203563,-130674438693707.48,6509.339032711478,3.91440417514096
3060577.9086312256,3060574.008644064,3.585346854225201e+16,3060574.514801426,367133.5475401342
21446601.008553036,21446623.82572002,-1.6186006238502168e+16,21446624.420497533,6588.159272934472
1210174.1073209564,1210185.8431101143,-1.022491633047869e+16,1210189.4843233577,237238.7279863131
215581.3035613274,215582.78755146102,-1044093593258959.1,215582.99870074439,1896.0563261710763
