Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
2.581906095558715e+38,2.581906095558715e+38,2.581906095558715e+38,2.581906095558715e+38,13913715.578132704
8.677442943559657e+98,8.677442943559657e+98,8.677442943559657e+98,8.677442943559657e+98,1393655.6384486707
9.869066076081064e+36,9.869066076081064e+36,9.869058731337074e+36,9.869066076081064e+36,2.2928581438256694e+35
2.7182410971432864e+96,2.7182410971432864e+96,2.7182410971432864e+96,2.7182410971432864e+96,1.0425779103120197e+38
6.761652694107021e+37,6.761652694107021e+37,6.761588825168447e+37,6.761652694107021e+37,3.028004894736771e+36
7.205773047760751e+37,7.205773047760751e+37,7.205773047760751e+37,7.205773047760751e+37,282956856.41259515
1.7421994924283067e+98,1.7421994924283067e+98,1.7421994924283067e+98,1.7421994924283067e+98,1.753923245258477e+30
6.497759879320943e+97,6.497759879320943e+97,6.497759879320943e+97,6.497759879320943e+97,18613401.991819277
9.531339389805502e+95,9.531339389805502e+95,9.531339389805502e+95,9.531339389805502e+95,344488.8138835402
2.146226169312257e+100,2.146226169312257e+100,2.146226169312257e+100,2.146226169312257e+100,0.9173873537886582
7.676825163174166e+93,7.676825163174166e+93,7.676825163174166e+93,7.676825163174166e+93,4.5231741294609064e+33
2.4542791360267444e+99,2.4542791360267444e+99,2.4542791360267444e+99,2.4542791360267444e+99,0.7764999433552398
1.4806315805750938e+95,1.4806315805750938e+95,1.4806315805750938e+95,1.4806315805750938e+95,1.1077575849078201e+33
6.000840094733587e+94,6.000840094733587e+94,6.000840094733587e+94,6.000840094733587e+94,3699.444206482459
1.1691953106361378e+101,1.1691953106361378e+101,1.1691953106361378e+101,1.1691953106361378e+101,0.7884606803732785
2.2650241625738967e+95,2.2650241625738967e+95,2.2650241625738967e+95,2.2650241625738967e+95,6.108833675852677e+29
3.3226988508830485e+99,3.3226988508830485e+99,3.3226988508830485e+99,3.3226988508830485e+99,0.8357781055829215
7.775713639438254e+97,7.775713639438254e+97,7.775713639438254e+97,7.775713639438254e+97,38030220.028792754
3.58610406765318e+100,3.58610406765318e+100,3.58610406765318e+100,3.58610406765318e+100,4.603922590487647e+98
7.051219743824393e+100,7.051219743824393e+100,7.051219743824393e+100,7.051219743824393e+100,203025.64520965924
2.217677897454423e+93,2.217677897454423e+93,2.217677897454423e+93,2.217677897454423e+93,3879307.077572891
1.8770133324183934e+94,1.8770133324183934e+94,1.8770133324183934e+94,1.8770133324183934e+94,7.83081846874725e+34
3.2433422136804096e+64,3.2433422136804096e+64,3.2433422136804096e+64,3.2433422136804096e+64,0.7861313890476411
7.833219996801751e+98,7.833219996801751e+98,7.833219996801751e+98,7.833219996801751e+98,4.935121903629664e+100
3.2421841626675347e+97,3.2421841626675347e+97,3.2421841626675347e+97,3.2421841626675347e+97,152084.27815430527
2.8191848801636737e+96,2.8191848801636737e+96,2.8191848801636737e+96,2.8191848801636737e+96,4.695833511796404e+34
1.383498444691704e+98,1.383498444691704e+98,1.383498444691704e+98,1.383498444691704e+98,2.0081652363117447e+34
3.7985422188755886e+98,3.7985422188755886e+98,3.7985422188755886e+98,3.7985422188755886e+98,2.0053827681115734e+35
