Error_cv_lmm,Error_cv_lmm_c,Error_cv_lmm_c_r,Error_cv_lmm_c_s,Error_te_lmm
2.6868436206817987e+35,2.6868436206817987e+35,2.6868373712727893e+35,2.6868436206817987e+35,1.875822489444811e+34
1.6946430348558565e+96,1.6946430348558565e+96,1.6946430348558565e+96,1.6946430348558565e+96,30578852.020332564
1.413163848654492e+36,1.413163848654492e+36,1.41316391582354e+36,1.413163848654492e+36,3.322413618561307e+35
7.081292973018458e+100,7.081292973018458e+100,7.081292973018458e+100,7.081292973018458e+100,30127.300122361008
6.26891926672513e+97,6.26891926672513e+97,6.26891926672513e+97,6.26891926672513e+97,5.258904798988782e+32
1.6478331264642995e+99,1.6478331264642995e+99,1.6478331264642995e+99,1.6478331264642995e+99,7.099659078155374e+32
1.7392694779812698e+97,1.7392694779812698e+97,1.7392694779812698e+97,1.7392694779812698e+97,1.1870780960274929e+36
8.92817320716025e+98,8.92817320716025e+98,8.92817320716025e+98,8.92817320716025e+98,7967703.568749963
9.968729419685894e+96,9.968729419685894e+96,9.968729419685894e+96,9.968729419685894e+96,1.5311784104238242e+33
2.254172468932358e+101,2.254172468932358e+101,2.254172468932358e+101,2.254172468932358e+101,4.54914026931405e+99
7.613354876257132e+92,7.613354876257132e+92,7.613354876257132e+92,7.613354876257132e+92,100471.16791419497
1.5515795536375804e+93,1.5515795536375804e+93,1.5515795536375804e+93,1.5515795536375804e+93,0.6897965027156199
1.2820161254295531e+36,1.2820161254295531e+36,1.2820161254295531e+36,1.2820161254295531e+36,84145760.38489935
5.3730113634898594e+100,5.3730113634898594e+100,5.3730113634898594e+100,5.3730113634898594e+100,18022563.44959924
9.866939670004178e+98,9.866939670004178e+98,9.866939670004178e+98,9.866939670004178e+98,4.459641299731259e+100
1.885721739132805e+37,1.885721739132805e+37,1.8857189302139583e+37,1.885721739132805e+37,5.2777293885650645e+38
4.538543911357601e+35,4.538543911357601e+35,4.538543911357601e+35,4.538543911357601e+35,7565.468089596532
9.377930038583723e+98,9.377930038583723e+98,9.377930038583723e+98,9.377930038583723e+98,7.955977329428184e+25
6.626977889368772e+96,6.626977889368772e+96,6.626977889368772e+96,6.626977889368772e+96,4.881769494143549e+66
2.4635042776840597e+98,2.4635042776840597e+98,2.4635042776840597e+98,2.4635042776840597e+98,5.7461127370187856e+32
1.895641100972881e+96,1.895641100972881e+96,1.895641100972881e+96,1.895641100972881e+96,1.3701464944372648e+39
2.9850447582512677e+93,2.9850447582512677e+93,2.9850447582512677e+93,2.9850447582512677e+93,26211693.15591525
3.1916692266685066e+92,3.1916692266685066e+92,3.1916692266685066e+92,3.1916692266685066e+92,621964.2044464626
7.859480846328873e+97,7.859480846328873e+97,7.859480846328873e+97,7.859480846328873e+97,1.1052085678053265e+96
1.633600495783117e+94,1.633600495783117e+94,1.633600495783117e+94,1.633600495783117e+94,1.3221614295417129e+31
4.808136933139469e+69,4.808136933139469e+69,4.808136933139469e+69,4.808136933139469e+69,2.021932263352905e+34
7.689584223384042e+101,7.689584223384042e+101,7.689584223384042e+101,7.689584223384042e+101,4.2883704435866387e+33
4.02898524124269e+98,4.02898524124269e+98,4.02898524124269e+98,4.02898524124269e+98,4.32063926778584e+28
5.813124070935317e+90,5.813124070935317e+90,5.813124070935317e+90,5.813124070935317e+90,4585.6700464074875
2.7766314289910507e+92,2.7766314289910507e+92,2.7766314289910507e+92,2.7766314289910507e+92,9163529.144818313
2.244668531168359e+95,2.244668531168359e+95,2.244668531168359e+95,2.244668531168359e+95,20252.6397895952
1.8515287689009075e+36,1.8515287689009075e+36,1.8515287689009075e+36,1.8515287689009075e+36,0.7181939281868291
4.608379676558407e+97,4.608379676558407e+97,4.608379676558407e+97,4.608379676558407e+97,3248482.471065881
1.8680526579278013e+99,1.8680526579278013e+99,1.8680526579278013e+99,1.8680526579278013e+99,370307803.3780253
1.8743215258865854e+97,1.8743215258865854e+97,1.8743215258865854e+97,1.8743215258865854e+97,1.4409503738379796e+36
4.26985635080494e+93,4.26985635080494e+93,4.26985635080494e+93,4.26985635080494e+93,0.7301498295244874
9.430439311088649e+98,9.430439311088649e+98,9.430439311088649e+98,9.430439311088649e+98,1.5172484406022195e+31
9.20148844763552e+97,9.20148844763552e+97,9.20148844763552e+97,9.20148844763552e+97,3.449482780548614e+99
3.1803659879093746e+96,3.1803659879093746e+96,3.1803659879093746e+96,3.1803659879093746e+96,8.894262967900953e+31
1.692746689398548e+95,1.692746689398548e+95,1.692746689398548e+95,1.692746689398548e+95,82607627.1004739
5.884717959389444e+96,5.884717959389444e+96,5.884717959389444e+96,5.884717959389444e+96,1.7779601136979166e+98
7.265063134083493e+96,7.265063134083493e+96,7.265063134083493e+96,7.265063134083493e+96,4.5673396731549146e+30
1.9694469317148227e+91,1.9694469317148227e+91,1.9694469317148227e+91,1.9694469317148227e+91,5025690117.163603
7.5979744195171195e+99,7.5979744195171195e+99,7.5979744195171195e+99,7.5979744195171195e+99,0.7188553261784462
1.0298635394985138e+98,1.0298635394985138e+98,1.0298635394985138e+98,1.0298635394985138e+98,994197191.0096605
4.63465367331087e+34,4.63465367331087e+34,4.63465367331087e+34,4.63465367331087e+34,1161.4846811459463
9.471478116171162e+93,9.471478116171162e+93,9.471478116171162e+93,9.471478116171162e+93,6.596614438249868e+38
5.718770955698306e+100,5.718770955698306e+100,5.718770955698306e+100,5.718770955698306e+100,0.6970484316439203
3.157560964057647e+36,3.157560964057647e+36,3.157560964057647e+36,3.157560964057647e+36,7.113475049542716e+34
2.0158622833422338e+60,2.0158622833422338e+60,2.0158622833422338e+60,2.0158622833422338e+60,51657317.57943498
4.674344139074574e+92,4.674344139074574e+92,4.674344139074574e+92,4.674344139074574e+92,2.856480857620624e+37
1.0566989293788613e+98,1.0566989293788613e+98,1.0566989293788613e+98,1.0566989293788613e+98,7.131648623764169e+99
2.138930720191281e+96,2.138930720191281e+96,2.138930720191281e+96,2.138930720191281e+96,56853427.0490634
1.4977216863511907e+99,1.4977216863511907e+99,1.4977216863511907e+99,1.4977216863511907e+99,4.061760677768077e+32
7.282279870116937e+35,7.282279870116937e+35,7.282280809430898e+35,7.282279870116937e+35,1.1880730532547341e+36
3.393814815896663e+94,3.393814815896663e+94,3.393814815896663e+94,3.393814815896663e+94,5.591249496961318e+96
1.4763389143931848e+97,1.4763389143931848e+97,1.4763389143931848e+97,1.4763389143931848e+97,8.158342667831305e+96
2.4416481987908077e+96,2.4416481987908077e+96,2.4416481987908077e+96,2.4416481987908077e+96,2.678920523519916e+33
4.675628501841221e+100,4.675628501841221e+100,4.675628501841221e+100,4.675628501841221e+100,8425.734592117169
