Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
2.4179148322305147e+35,2.4179148322305147e+35,2.4179085828215052e+35,2.4179148322305147e+35,2.367343806348693e+34
1.6946430348558565e+96,1.6946430348558565e+96,1.6946430348558565e+96,1.6946430348558565e+96,91248572.85223398
1.4890092774262194e+36,1.4890092774262194e+36,1.4890093445952672e+36,1.4890092774262194e+36,8.035266572962944e+35
7.081292973018458e+100,7.081292973018458e+100,7.081292973018458e+100,7.081292973018458e+100,60012.951197352
6.26891926672513e+97,6.26891926672513e+97,6.26891926672513e+97,6.26891926672513e+97,4.3182378109892216e+33
1.6478331264642995e+99,1.6478331264642995e+99,1.6478331264642995e+99,1.6478331264642995e+99,7.099659111830527e+32
1.7392694779812698e+97,1.7392694779812698e+97,1.7392694779812698e+97,1.7392694779812698e+97,6.36734981095941e+36
8.92817320716025e+98,8.92817320716025e+98,8.92817320716025e+98,8.92817320716025e+98,9722604.955520973
9.968729419685894e+96,9.968729419685894e+96,9.968729419685894e+96,9.968729419685894e+96,6.355072694667127e+33
2.254172468932358e+101,2.254172468932358e+101,2.254172468932358e+101,2.254172468932358e+101,4.54914026931405e+99
7.613354876257132e+92,7.613354876257132e+92,7.613354876257132e+92,7.613354876257132e+92,118804.38525814409
1.5515795536375804e+93,1.5515795536375804e+93,1.5515795536375804e+93,1.5515795536375804e+93,0.9865362537020126
1.2820161254295599e+36,1.2820161254295599e+36,1.2820161254295599e+36,1.2820161254295599e+36,193536513.8057305
5.3730113634898594e+100,5.3730113634898594e+100,5.3730113634898594e+100,5.3730113634898594e+100,23136224.011246685
9.866939670004179e+98,9.866939670004179e+98,9.866939670004179e+98,9.866939670004179e+98,4.459641299731259e+100
2.0063143180562438e+35,2.0063143180562438e+35,2.0060334261715752e+35,2.0063143180562438e+35,5.500273062565181e+38
4.538543911357601e+35,4.538543911357601e+35,4.538543911357601e+35,4.538543911357601e+35,26278.25465910791
9.377930038583723e+98,9.377930038583723e+98,9.377930038583723e+98,9.377930038583723e+98,543772249522.60315
6.626977889368772e+96,6.626977889368772e+96,6.626977889368772e+96,6.626977889368772e+96,4.8817694941435455e+66
2.4635042776840597e+98,2.4635042776840597e+98,2.4635042776840597e+98,2.4635042776840597e+98,6.3352405922343874e+32
1.895641100972881e+96,1.895641100972881e+96,1.895641100972881e+96,1.895641100972881e+96,2.1553015442949464e+39
2.9850447582512677e+93,2.9850447582512677e+93,2.9850447582512677e+93,2.9850447582512677e+93,65744056.76817875
3.1916692266685066e+92,3.1916692266685066e+92,3.1916692266685066e+92,3.1916692266685066e+92,1331623.3221628726
7.860463022754854e+97,7.860463022754854e+97,7.860463022754854e+97,7.860463022754854e+97,1.122859377678212e+96
1.633600495783117e+94,1.633600495783117e+94,1.633600495783117e+94,1.633600495783117e+94,4.32706830624682e+31
4.808136933139469e+69,4.808136933139469e+69,4.808136933139469e+69,4.808136933139469e+69,3.3991133651244714e+34
7.689584223384042e+101,7.689584223384042e+101,7.689584223384042e+101,7.689584223384042e+101,6.51338853546969e+33
4.02898524124269e+98,4.02898524124269e+98,4.02898524124269e+98,4.02898524124269e+98,4.320639267785859e+28
5.813124070935317e+90,5.813124070935317e+90,5.813124070935317e+90,5.813124070935317e+90,31135.278593688177
2.7766314289910507e+92,2.7766314289910507e+92,2.7766314289910507e+92,2.7766314289910507e+92,13541304.940618161
2.244668531168359e+95,2.244668531168359e+95,2.244668531168359e+95,2.244668531168359e+95,90149.54292805726
1.8515287689009075e+36,1.8515287689009075e+36,1.8515287689009075e+36,1.8515287689009075e+36,0.9012686893472356
4.608379676558407e+97,4.608379676558407e+97,4.608379676558407e+97,4.608379676558407e+97,7680258.555578075
1.8680526579278013e+99,1.8680526579278013e+99,1.8680526579278013e+99,1.8680526579278013e+99,524011448.35570765
1.8743215258865854e+97,1.8743215258865854e+97,1.8743215258865854e+97,1.8743215258865854e+97,2.176358416702481e+36
4.26985635080494e+93,4.26985635080494e+93,4.26985635080494e+93,4.26985635080494e+93,1.6208522571651915
9.430439311088649e+98,9.430439311088649e+98,9.430439311088649e+98,9.430439311088649e+98,1.7968193461764268e+31
4.235306074863664e+94,4.235306074863664e+94,4.235306074863664e+94,4.235306074863664e+94,3.568897977450611e+99
3.1803659879093746e+96,3.1803659879093746e+96,3.1803659879093746e+96,3.1803659879093746e+96,6.805381547933039e+32
1.692746689398548e+95,1.692746689398548e+95,1.692746689398548e+95,1.692746689398548e+95,223904233.6498267
5.884717959389448e+96,5.884717959389448e+96,5.884717959389448e+96,5.884717959389448e+96,1.7779601136979166e+98
7.265063134083493e+96,7.265063134083493e+96,7.265063134083493e+96,7.265063134083493e+96,3.5718009484688014e+30
1.9694469317148227e+91,1.9694469317148227e+91,1.9694469317148227e+91,1.9694469317148227e+91,9185557576.853447
7.5979744195171195e+99,7.5979744195171195e+99,7.5979744195171195e+99,7.5979744195171195e+99,1.1653854611226209
1.0298635394985138e+98,1.0298635394985138e+98,1.0298635394985138e+98,1.0298635394985138e+98,6425635046.088542
4.63465367331087e+34,4.63465367331087e+34,4.63465367331087e+34,4.63465367331087e+34,2587.872804336835
9.471478116171162e+93,9.471478116171162e+93,9.471478116171162e+93,9.471478116171162e+93,7.241980226934285e+38
5.718770955698306e+100,5.718770955698306e+100,5.718770955698306e+100,5.718770955698306e+100,1.0730233319907576
3.1575609640576445e+36,3.1575609640576445e+36,3.1575609640576445e+36,3.1575609640576445e+36,7.113475049542684e+34
2.0158622833422338e+60,2.0158622833422338e+60,2.0158622833422338e+60,2.0158622833422338e+60,154225530.63659757
4.674344139074574e+92,4.674344139074574e+92,4.674344139074574e+92,4.674344139074574e+92,2.952520295447069e+37
1.0566989293788613e+98,1.0566989293788613e+98,1.0566989293788613e+98,1.0566989293788613e+98,7.131648623764169e+99
2.138930720191281e+96,2.138930720191281e+96,2.138930720191281e+96,2.138930720191281e+96,76813340.04562774
1.4977216863511907e+99,1.4977216863511907e+99,1.4977216863511907e+99,1.4977216863511907e+99,1.629078945312911e+29
1.429938961152758e+34,1.429938961152758e+34,1.4299483542923602e+34,1.429938961152758e+34,1.9832561532189875e+36
3.393814815896361e+94,3.393814815896361e+94,3.393814815896361e+94,3.393814815896361e+94,5.59124949696127e+96
5.580644680845957e+93,5.580644680845957e+93,5.580644680845957e+93,5.580644680845957e+93,4.131196386790444e+97
2.4416481987908077e+96,2.4416481987908077e+96,2.4416481987908077e+96,2.4416481987908077e+96,2.678920523519917e+33
4.675628501841221e+100,4.675628501841221e+100,4.675628501841221e+100,4.675628501841221e+100,35423.71398657618
1.663059680548858e+98,1.663059680548858e+98,1.663059680548858e+98,1.663059680548858e+98,1.0472877900658741e+99
1.5459117713607373e+96,1.5459117713607373e+96,1.5459117713607373e+96,1.5459117713607373e+96,22258531171.043777
6.5935301867731605e+96,6.5935301867731605e+96,6.5935301867731605e+96,6.5935301867731605e+96,29412.094781695985
1.7601958431177717e+90,1.7601958431177717e+90,1.7601958431177717e+90,1.7601958431177717e+90,7.504593614556434e+34
