Error_cv_lmm,Error_cv_lmm_c,Error_cv_lmm_c_r,Error_cv_lmm_c_s,Error_te_lmm
3.328257662258823e+128,3.328257662258823e+128,3.328257662258823e+128,3.328257662258823e+128,0.6875765621490829
1.3727272392835537e+155,1.3727272392835537e+155,1.3727272392835537e+155,1.3727272392835537e+155,0.795190381777777
5.699311684342932e+152,5.699311684342932e+152,5.699311684342932e+152,5.699311684342932e+152,0.7979057729694693
1.792960364248608e+123,1.792960364248608e+123,1.792960364248608e+123,1.792960364248608e+123,0.7801377302411039
2.30747828508366e+156,2.30747828508366e+156,2.30747828508366e+156,2.30747828508366e+156,0.730076636679719
5.3145501012469915e+110,5.3145501012469915e+110,5.3145501012469915e+110,5.3145501012469915e+110,1.3937450646766382e+126
7.414881687688228e+155,7.414881687688228e+155,7.414881687688228e+155,7.414881687688228e+155,0.8315788805760587
1.7323850250980601e+136,1.7323850250980601e+136,1.7323850250980601e+136,1.7323850250980601e+136,1.2401022935975349e+154
7.119509498369795e+185,7.119509498369795e+185,7.119509498369795e+185,7.119509498369795e+185,0.9196796279634923
8.089291692024306e+107,8.089291692024306e+107,8.089291692024306e+107,8.089291692024306e+107,1.6079614710374195e+125
1.3943134651571437e+130,1.3943134651571437e+130,1.3943134651571437e+130,1.3943134651571437e+130,0.8306827117879759
1.6721758340725866e+129,1.6721758340725866e+129,1.6721758340725866e+129,1.6721758340725866e+129,0.8465112482664191
1.4848299074589008e+158,1.4848299074589008e+158,1.4848299074589008e+158,1.4848299074589008e+158,2.3167647973644244e+98
0.8266790024541778,0.8266790024539684,0.826679002468788,0.826679002452209,0.7545845826647116
6.064336088109306e+154,6.064336088109306e+154,6.064336088109306e+154,6.064336088109306e+154,0.8313406468293126
2.1067836759365853e+125,2.1067836759365853e+125,2.1067836759365853e+125,2.1067836759365853e+125,0.847004618366942
6.311607640767465e+156,6.311607640767465e+156,6.311607640767465e+156,6.311607640767465e+156,0.8265552484162717
1.803403650262891e+162,1.803403650262891e+162,1.803403650262891e+162,1.803403650262891e+162,0.9134148342018449
6.979808531131499e+96,6.979808531131499e+96,6.979808531131499e+96,6.979808531131499e+96,0.923566470323257
1.0392916410010066e+155,1.0392916410010066e+155,1.0392916410010066e+155,1.0392916410010066e+155,0.763933251516765
5.744053038223217e+129,5.744053038223217e+129,5.744053038223217e+129,5.744053038223217e+129,0.8452486036302806
2.462181889213757e+125,2.462181889213757e+125,2.462181889213757e+125,2.462181889213757e+125,0.8719121868801949
1.2553428224572002e+127,1.2553428224572002e+127,1.2553428224572002e+127,1.2553428224572002e+127,1.2706642011432313e+124
9.86477057245726e+155,9.86477057245726e+155,9.86477057245726e+155,9.86477057245726e+155,0.7963204104185372
1.7664872941023422e+156,1.7664872941023422e+156,1.7664872941023422e+156,1.7664872941023422e+156,0.7658863557463422
1.1768738673468215e+153,1.1768738673468215e+153,1.1768738673468215e+153,1.1768738673468215e+153,0.869688384129434
1.1276824745604495e+186,1.1276824745604495e+186,1.1276824745604495e+186,1.1276824745604495e+186,4.595031110501817e+126
1.344677498124902e+145,1.344677498124902e+145,1.344677498124902e+145,1.344677498124902e+145,6.919546134596097e+186
2.162554738977892e+157,2.162554738977892e+157,2.162554738977892e+157,2.162554738977892e+157,1.7091722632697304e+96
1.250942782030769e+162,1.250942782030769e+162,1.250942782030769e+162,1.250942782030769e+162,0.7956264666369189
2.1433255568224458e+128,2.1433255568224458e+128,2.1433255568224458e+128,2.1433255568224458e+128,0.7187624261058367
7.95408151636966e+129,7.95408151636966e+129,7.95408151636966e+129,7.95408151636966e+129,0.8501312376320038
8.181730811441864e+151,8.181730811441864e+151,8.181730811441864e+151,8.181730811441864e+151,0.8254574744100116
5.4326905828697426e+153,5.4326905828697426e+153,5.4326905828697426e+153,5.4326905828697426e+153,0.8005514073728457
0.9009870389089246,0.9009870389097425,0.900987038926357,0.9009870389069039,0.9797127893043556
6.106403714758145e+155,6.106403714758145e+155,6.106403714758145e+155,6.106403714758145e+155,0.8428631391867258
