Error_cv_wls,Error_cv_wls_c,Error_cv_wls_c_r,Error_cv_wls_c_s,Error_te_wls
3.328257662258823e+128,3.328257662258823e+128,3.328257662258823e+128,3.328257662258823e+128,0.6875765621666163
1.3727272392835537e+155,1.3727272392835537e+155,1.3727272392835537e+155,1.3727272392835537e+155,0.7951903817836896
5.699311684342932e+152,5.699311684342932e+152,5.699311684342932e+152,5.699311684342932e+152,0.7979057729751448
1.792960364248608e+123,1.792960364248608e+123,1.792960364248608e+123,1.792960364248608e+123,0.7801377302504354
2.30747828508366e+156,2.30747828508366e+156,2.30747828508366e+156,2.30747828508366e+156,0.7300766366846034
1.1958732943629393e+95,1.1958732943629393e+95,1.1958732943629393e+95,1.1958732943629393e+95,1.3937450851283443e+126
7.414881687688228e+155,7.414881687688228e+155,7.414881687688228e+155,7.414881687688228e+155,0.8315788805866895
0.9706410051350844,-8.363980448730326e+65,2.1691866746053104e+68,2.9088146794812372e+66,1.2401022939634043e+154
7.119509498369795e+185,7.119509498369795e+185,7.119509498369795e+185,7.119509498369795e+185,0.9196796279734578
2.640239670486158e+102,2.640239670486158e+102,2.640239670486158e+102,2.640239670486158e+102,1.607961471415856e+125
1.3943134651571437e+130,1.3943134651571437e+130,1.3943134651571437e+130,1.3943134651571437e+130,0.8306827118001239
1.6721758340725866e+129,1.6721758340725866e+129,1.6721758340725866e+129,1.6721758340725866e+129,0.8465112482750767
1.4848299074589008e+158,1.4848299074589008e+158,1.4848299074589008e+158,1.4848299074589008e+158,2.3167650372578628e+98
0.8266790024405143,0.8266790024403049,0.8266790024551245,0.8266790024385455,0.7545845826764096
6.064336088109306e+154,6.064336088109306e+154,6.064336088109306e+154,6.064336088109306e+154,0.8313406468439907
2.1067836759365853e+125,2.1067836759365853e+125,2.1067836759365853e+125,2.1067836759365853e+125,0.8470046183746056
6.311607640767465e+156,6.311607640767465e+156,6.311607640767465e+156,6.311607640767465e+156,0.826555248437577
1.803403650262891e+162,1.803403650262891e+162,1.803403650262891e+162,1.803403650262891e+162,0.9134148342102669
6.979808531131499e+96,6.979808531131499e+96,6.979808531131499e+96,6.979808531131499e+96,0.9235664703348339
1.0392916410010066e+155,1.0392916410010066e+155,1.0392916410010066e+155,1.0392916410010066e+155,0.7639332515210283
5.744053038223217e+129,5.744053038223217e+129,5.744053038223217e+129,5.744053038223217e+129,0.8452486036421628
2.462181889213757e+125,2.462181889213757e+125,2.462181889213757e+125,2.462181889213757e+125,0.8719121868939331
1.2553428228660595e+127,1.2553428228660595e+127,1.2553428228660595e+127,1.2553428228660595e+127,1.27066423657816e+124
9.86477057245726e+155,9.86477057245726e+155,9.86477057245726e+155,9.86477057245726e+155,0.7963204104277768
1.7664872941023422e+156,1.7664872941023422e+156,1.7664872941023422e+156,1.7664872941023422e+156,0.7658863557549401
1.1768738673468215e+153,1.1768738673468215e+153,1.1768738673468215e+153,1.1768738673468215e+153,0.8696883841314809
1.1276824745604495e+186,1.1276824745604495e+186,1.1276824745604495e+186,1.1276824745604495e+186,4.595031115737337e+126
0.8347950262756993,-3.397910884951983e+83,-1.936077665891014e+85,4.926829019599625e+70,6.919546134596097e+186
2.162554738977892e+157,2.162554738977892e+157,2.162554738977892e+157,2.162554738977892e+157,1.7091722644317566e+96
1.250942782030769e+162,1.250942782030769e+162,1.250942782030769e+162,1.250942782030769e+162,0.7956264666452074
