Error_cv_lmm,Error_cv_lmm_c,Error_cv_lmm_c_r,Error_cv_lmm_c_s,Error_te_lmm
7.070335335493342e+100,7.070335335493342e+100,7.070335335493342e+100,7.070335335493342e+100,0.6300340315060327
8.704234548060358e+99,8.704234548060358e+99,8.704234548060358e+99,8.704234548060358e+99,4228.012648941891
5.4105298459386075e+93,5.4105298459386075e+93,5.4105298459386075e+93,5.4105298459386075e+93,3.921844685953694e+32
4.854606517531539e+37,4.854606517531539e+37,4.854606517496288e+37,4.854606517531539e+37,8.051008462003056e+35
5.6884125301057615e+93,5.6884125301057615e+93,5.6884125301057615e+93,5.6884125301057615e+93,5.267270146986707e+38
7.99063069224822e+97,7.99063069224822e+97,7.99063069224822e+97,7.99063069224822e+97,2.8755747662121e+98
5.6501230962962766e+94,5.6501230962962766e+94,5.6501230962962766e+94,5.6501230962962766e+94,110480.11112418075
3.3822322010479795e+94,3.3822322010479795e+94,3.3822322010479795e+94,3.3822322010479795e+94,4391.455739649543
2.52120566454098e+99,2.52120566454098e+99,2.52120566454098e+99,2.52120566454098e+99,4.9788006626086995e+34
5.58394288550149e+92,5.58394288550149e+92,5.58394288550149e+92,5.58394288550149e+92,6.911564120166142e+35
1.4683795024188001e+97,1.4683795024188001e+97,1.4683795024188001e+97,1.4683795024188001e+97,1.4454107548550282e+36
2.6624003735964515e+95,2.6624003735964515e+95,2.6624003735964515e+95,2.6624003735964515e+95,1.2234753602870491e+37
1.9195597680326997e+98,1.9195597680326997e+98,1.9195597680326997e+98,1.9195597680326997e+98,1.9412277813355413e+36
4.512653810804403e+98,4.512653810804403e+98,4.512653810804403e+98,4.512653810804403e+98,3.2691926693330166e+97
1.7156010508777063e+35,1.7156010508777063e+35,1.7156040072627785e+35,1.7156010508777063e+35,1.0345798034014519e+35
5.2464576127374316e+97,5.2464576127374316e+97,5.2464576127374316e+97,5.2464576127374316e+97,7.201773588814305e+99
3.7133192654648043e+99,3.7133192654648043e+99,3.7133192654648043e+99,3.7133192654648043e+99,2311956.181862805
1.0705768139894858e+97,1.0705768139894858e+97,1.0705768139894858e+97,1.0705768139894858e+97,2.572205386208993e+33
4.2637221525203823e+95,4.2637221525203823e+95,4.2637221525203823e+95,4.2637221525203823e+95,7.745423889100619e+37
8.640254222788181e+99,8.640254222788181e+99,8.640254222788181e+99,8.640254222788181e+99,6.175144008449199e+101
1.3484519380709558e+98,1.3484519380709558e+98,1.3484519380709558e+98,1.3484519380709558e+98,1027770.4791143168
1.722288657773391e+95,1.722288657773391e+95,1.722288657773391e+95,1.722288657773391e+95,3.477499328533753e+100
5.603030189255754e+98,5.603030189255754e+98,5.603030189255754e+98,5.603030189255754e+98,1.8204032910391372e+102
1.2475996435374145e+96,1.2475996435374145e+96,1.2475996435374145e+96,1.2475996435374145e+96,6.87125244274017e+31
1.5381415343615693e+33,1.5381415343615693e+33,1.5381412649310056e+33,1.5381415343615693e+33,1.7104837520083859e+34
3.045730554100808e+96,3.045730554100808e+96,3.045730554100808e+96,3.045730554100808e+96,2.629186546795889e+96
2.147733808263498e+96,2.147733808263498e+96,2.147733808263498e+96,2.147733808263498e+96,4.095332527800562e+35
5.681582533551774e+97,5.681582533551774e+97,5.681582533551774e+97,5.681582533551774e+97,0.7727263815811999
1.9123010246663086e+98,1.9123010246663086e+98,1.9123010246663086e+98,1.9123010246663086e+98,1.6927918019231922e+30
3.271704827228015e+98,3.271704827228015e+98,3.271704827228015e+98,3.271704827228015e+98,0.6864884113511771
1.494536604721672e+96,1.494536604721672e+96,1.494536604721672e+96,1.494536604721672e+96,1.63832389576833e+34
5.482099218805296e+37,5.482099218805296e+37,5.482324427125e+37,5.482099218805296e+37,8.88662950406767e+37
2.1305605823238255e+99,2.1305605823238255e+99,2.1305605823238255e+99,2.1305605823238255e+99,36685.77526970235
1.2426728540349152e+96,1.2426728540349152e+96,1.2426728540349152e+96,1.2426728540349152e+96,0.6457665927919214
1.0432537497039303e+98,1.0432537497039303e+98,1.0432537497039303e+98,1.0432537497039303e+98,1.0369527393550546e+34
1.6142007404823356e+95,1.6142007404823356e+95,1.6142007404823356e+95,1.6142007404823356e+95,0.5903351923094255
1.0591810641126904e+99,1.0591810641126904e+99,1.0591810641126904e+99,1.0591810641126904e+99,0.6320260133352713
7.176536848280492e+36,7.176536848280492e+36,7.176536859266181e+36,7.176536848280492e+36,5.89545973364722e+35
1.6445618135062294e+92,1.6445618135062294e+92,1.6445618135062294e+92,1.6445618135062294e+92,2.6829875222665233e+31
1.390234587316407e+96,1.390234587316407e+96,1.390234587316407e+96,1.390234587316407e+96,9.23018335494053e+31
1.7430613156006403e+98,1.7430613156006403e+98,1.7430613156006403e+98,1.7430613156006403e+98,7.147277307720186e+97
3.538970298347745e+35,3.538970298347745e+35,3.538970298347745e+35,3.538970298347745e+35,2603991.0968167633
1.7083301571226844e+97,1.7083301571226844e+97,1.7083301571226844e+97,1.7083301571226844e+97,504656.12075183593
1.1829241379152287e+95,1.1829241379152287e+95,1.1829241379152287e+95,1.1829241379152287e+95,8.319607219694444e+100
4.1540306567868443e+96,4.1540306567868443e+96,4.1540306567868443e+96,4.1540306567868443e+96,14258.98974826541
5.837691711415427e+99,5.837691711415427e+99,5.837691711415427e+99,5.837691711415427e+99,1199939.0660494152
2.0846097229181195e+94,2.0846097229181195e+94,2.0846097229181195e+94,2.0846097229181195e+94,341365702.52448744
2.4405518362609033e+94,2.4405518362609033e+94,2.4405518362609033e+94,2.4405518362609033e+94,6.423074987500096e+30
3.233647013120887e+96,3.233647013120887e+96,3.233647013120887e+96,3.233647013120887e+96,2.8215882107324276e+96
1.551693795663512e+97,1.551693795663512e+97,1.551693795663512e+97,1.551693795663512e+97,160072.12654993014
2.877028770995303e+93,2.877028770995303e+93,2.877028770995303e+93,2.877028770995303e+93,3.0785423768644016e+31
1.5263629829470891e+35,1.5263629829470891e+35,1.5263629829470891e+35,1.5263629829470891e+35,129886.7398270429
1.1743026625950364e+97,1.1743026625950364e+97,1.1743026625950364e+97,1.1743026625950364e+97,2.861143642306618e+33
4.041094214124225e+99,4.041094214124225e+99,4.041094214124225e+99,4.041094214124225e+99,0.6262500076362097
6.67043244694733e+92,6.67043244694733e+92,6.67043244694733e+92,6.67043244694733e+92,2.816867728641836e+35
3.313539685590148e+45,3.313539685590148e+45,3.3135396855901474e+45,3.313539685590148e+45,2.5289174436549017e+37
3.970582860531192e+66,3.970582860531192e+66,3.970582860531192e+66,3.970582860531192e+66,5.990424322563417e+97
2.834455848753175e+95,2.834455848753175e+95,2.834455848753175e+95,2.834455848753175e+95,4.530797252695455e+31
9.423199898494275e+31,9.423199898494275e+31,9.423199898490375e+31,9.423199898494275e+31,253950988978.78186
2.6759198060703567e+37,2.6759198060703567e+37,2.6759198060703567e+37,2.6759198060703567e+37,2.8333029404443647e+37
6.404769932616692e+97,6.404769932616692e+97,6.404769932616692e+97,6.404769932616692e+97,3.882686452281021e+35
3.862225781168441e+101,3.862225781168441e+101,3.862225781168441e+101,3.862225781168441e+101,139457602351.55304
2.4376902026632172e+37,2.4376902026632172e+37,2.437690202837034e+37,2.4376902026632172e+37,1.5669801339161494e+38
1.1003710394174022e+99,1.1003710394174022e+99,1.1003710394174022e+99,1.1003710394174022e+99,88306.88756288282
3.25392757453822e+99,3.25392757453822e+99,3.25392757453822e+99,3.25392757453822e+99,3502837.1482985127
1.1428199715440281e+37,1.1428199715440281e+37,1.1428199715440281e+37,1.1428199715440281e+37,30538.988343836336
1.436027226813023e+97,1.436027226813023e+97,1.436027226813023e+97,1.436027226813023e+97,2.274052186094073e+35
5.5407056467954896e+94,5.5407056467954896e+94,5.5407056467954896e+94,5.5407056467954896e+94,0.6742490897808692
1.1546207665148982e+97,1.1546207665148982e+97,1.1546207665148982e+97,1.1546207665148982e+97,5.622333687308559e+34
4.011262776420707e+96,4.011262776420707e+96,4.011262776420707e+96,4.011262776420707e+96,0.6866384366580695
2.532303881713996e+93,2.532303881713996e+93,2.532303881713996e+93,2.532303881713996e+93,321144.01727829716
1.3164989190748992e+32,1.3164989190748992e+32,1.3164989190748989e+32,1.3164989190748992e+32,1477188.9218105872
1.709767153909831e+99,1.709767153909831e+99,1.709767153909831e+99,1.709767153909831e+99,0.6697640597435438
2.6326424668034055e+98,2.6326424668034055e+98,2.6326424668034055e+98,2.6326424668034055e+98,6649193565.360868
1.3197250268908734e+97,1.3197250268908734e+97,1.3197250268908734e+97,1.3197250268908734e+97,0.6989459793410623
6.768054317572204e+96,6.768054317572204e+96,6.768054317572204e+96,6.768054317572204e+96,8.870761174759662e+36
1.1791461181662653e+100,1.1791461181662653e+100,1.1791461181662653e+100,1.1791461181662653e+100,2.5123506533009863e+92
2.664198981073271e+36,2.664198981073271e+36,2.6641989797863085e+36,2.664198981073271e+36,8.330282388187958e+34
5.5402653944896736e+97,5.5402653944896736e+97,5.5402653944896736e+97,5.5402653944896736e+97,22869726.541590013
1.2023954308265475e+99,1.2023954308265475e+99,1.2023954308265475e+99,1.2023954308265475e+99,1.7391485791150376e+36
