Error_cv_ols,Error_cv_ols_c,Error_cv_ols_c_r,Error_cv_ols_c_s,Error_te_ols
0.9191120161815937,0.9152656244446825,1.2044818254058658,0.904258293298538,0.8906742977564762
0.8486151691203974,0.8596860060001612,1.1207317028377586,0.8308300136354421,0.8341399739891745
0.7691332336343855,0.7770700343539236,0.9393531815919918,0.7596414663711464,0.7202254382213177
0.7280516181870731,0.7163288740221496,0.9098164385821639,0.7186419730610685,0.7628882285883873
0.7770789019731613,0.7817496628619266,1.0420232235275586,0.7658517758430147,0.7729428655540949
0.926148684336437,0.9213935629248324,1.2469731505049915,0.8845400843170854,0.8807038793315306
0.8725984903393659,0.860709184986966,1.1576988164451998,0.8554940185387435,0.709649053417912
0.8481440695719606,0.8499000910610448,1.1431847624811085,0.835336329647256,0.8631236167916992
0.7909369284827874,0.8016945390852113,1.002323251302356,0.7793857983337877,0.8108874826554479
0.8258657728570443,0.8327072060814266,1.014732004241087,0.8087725181510418,0.8699279770109613
0.7513174904450316,0.7520606505280031,0.9034945834970768,0.7448093574654454,0.8603105025516742
0.8428485401842036,0.8532918235837648,1.1323963454411579,0.8309411969196825,0.8800511485152516
0.8013386748187747,0.8061504968200033,1.0309879339347507,0.7901835784590148,0.7932539512257386
0.8942411570026902,0.8894603110658572,1.1095768289854735,0.8689079443047769,0.8229628647693285
0.7023092558250862,0.6962076937648766,0.8539081617151939,0.694751673513916,0.7256304786665623
0.7600196508806263,0.7632791654068956,0.9639953534410026,0.7513227998232093,0.8839993596725694
0.89338287985765,0.9055152779244164,1.1833107115139052,0.8624191582691514,0.8277682762050295
0.8316968350512746,0.8380403005290389,1.0734920760247841,0.8349365784795717,0.9292862692653489
0.8139919808469402,0.8143158357248224,1.0614044580586055,0.8129547668288526,0.8152631718709595
0.8867520234361783,0.8728124400020829,1.2049398946461776,0.8832944309879371,0.9006559743741204
0.8409954480167294,0.8360010449864643,1.080719667315704,0.8259686834869557,0.8398398549915611
0.8866784704149387,0.8815725647322793,1.1308948413002868,0.8678334988067228,0.862224096382349
0.7773474414521865,0.7740096867963312,1.0579355806607849,0.7632680081195883,0.8418988969949343
0.7566964325393631,0.7567984754493821,0.9640265313608808,0.7399926445118971,0.8685436857181423
0.7477086738153079,0.7487356680657457,0.9154743807638547,0.7418430258537064,0.7313041275538773
0.8732986301184246,0.8634663605415412,1.165123794678673,0.854204405998605,0.8444919125656933
0.7988327420442948,0.806268310717332,1.0407396928541521,0.781486851770869,0.8235172878349658
0.9335543652799305,0.9268698695366744,1.2724444674840096,0.9060008769576202,0.8922541500048001
0.676918305160581,0.684908515542195,0.8109040017042193,0.6699228919096778,0.7243165206933997
0.8463684634453025,0.8549581500622855,1.1295478730291295,0.8560149435549834,0.8189723627974529
0.8170191062080513,0.8208168368050311,1.0288044659764397,0.806286820852257,0.782370258787264
0.8349580145092902,0.8231350917910757,1.068406310145836,0.8294279072906617,0.8767960653511326
0.8652476640615601,0.8730746707099564,1.1548300295722442,0.8438266371735672,0.7618206367888384
0.8217329955075203,0.8222541540147279,1.0771226310929345,0.8035521987746925,0.8426607319320361
0.802112446744719,0.8019159726237607,0.9876936308807794,0.7916541663175077,0.7015276585380296
0.7890036275625786,0.7836940334591557,1.0234792819572482,0.7696815981387414,0.8870534664041052
0.8824259035901179,0.884693237949429,1.1872079398563746,0.8851735628614903,0.7604730007434105
0.7755228463662349,0.7856838078738004,0.9748613303542548,0.756587230694201,0.776604162842274
0.81788832838582,0.8148174384829356,1.116503527517856,0.7983256945288579,0.7931366039599388
0.7005180183190711,0.6973567086908055,0.8466794752185859,0.6936980914730779,0.6202887678539699
0.84901790006491,0.8338294438258499,1.1222417119057737,0.8402857018678865,0.8520892335767091
0.9199107737975268,0.9168723270041036,1.2485348323751846,0.8927602081446154,0.8727559945726611
0.8145568226583639,0.8252122632836043,1.0682232912334917,0.8058374063826026,0.8205345280215424
0.899907271685089,0.8902886385988099,1.241108911545711,0.888009627369618,0.8047120106348904
0.7751008678513572,0.779659070404095,1.0113882907148257,0.7577826756111482,0.7655647915444712
